*** 1 - 15 (/course/66669/1-5000-arabic-frequency-audio/1/)	
الـ	The
تَساءَلَ	"to ask oneself, wonder, ponder"
ناجِح	"adj. successful, winning; n. winner"
حَزِين	"sad, unhappy, sorrowful"
شَقِيق	"brother, full brother"
خَدَمَ	"to serve, assist sb; to serve"
مَزْرَع	"farm, plantation"
جَرّاءَ	"because of, as a result of"
رائِد	"n. pioneer, explorer; leader; (mil.) major, commandant; adj. pioneering, leading"
قِلَّة	"scarcity, lack of; small number or amount of"
مَلَكِيّ	royal; of or relating to a kingdom
مُوَحَّد	"united, unified; standardized, normalized"
جاهِز	"ready, prepared; equipped, outfitted"
راهِن	"present, current (not حالي)"
دُسْتُورِيّ	constitutional
راتِب	"salary, wage, pay"
*** 1779 - 1793 (/course/66669/1-5000-arabic-frequency-audio/119/)	
أَمَلَ	"to hope that; to hope for, expect ( ب/في ) sth, من from sth/sb    (not تمنى not رجا)"
اِفْتِتاح	"opening, inauguration"
سَفِينَة	"ship, vessel"
اِعْتِقال	"arrest, detention"
لاحِق	"adj. later, subsequent; next, following (not تال)"
لاحِقاً	"shortly, soon (not عما قريب)"
ضَيِّق	"narrow, restricted, tight"
أَخْذ	taking; seizure
قَبْر	"tomb, sepulcher"
عَجِيب	"wonderful, amazing; astonishing, strange"
تَمَثَّلَ	"to be represented, be incorporated in sth; to appear, be seen in sth"
شاهَدَ	"to see, watch, observe sth/sb (not رأى or نظر or شاف)"
اِنْتِصار	"victory, triumph"
هُنالِكَ	"there, over there; there is, there are (long version)"
أَدْنَى	"lower/lowest, nearer/nearest; adj. inferior, low, near; n./adj. minimum"
مُجاوِر	"neighboring, adjacent"
*** 1794 - 1808 (/course/66669/1-5000-arabic-frequency-audio/120/)	
نِعْمَة	"blessing, grace"
لا بَأْسَ بِهِ	not a bad…at all;
سَطْح	surface
اِحْتَوَى	"to contain, include sth (not شمل، تضمن)"
أَشَدّ	stronger/strongest; more/most intense
غَنِيّ	"rich, wealthy"
رَوْعَة	"magnificence, splendor, beauty; (Gul.) adj. (invar.) beautiful, great, fantastic, awesome"
خَصَّ	"to concern, affect, relate to sb/sth; (often with neg.) to be sb’s business or concern; to choose, select, single out sth/sb;"
اِبْتَسَمَ	to smile (at sb)
مُبارَك	"blessed; lucky, fortunate"
أَغْلَب	"(adj) most, majority"
لِواء	"(mil.) major general; district, province; flag, banner; (mil.) brigade"
حَقْل	field
خُلُق	"n. character, personality, temperament"
أَخْلاق	"morals, ethics"
جادّ	"earnest, serious"
*** 1809 - 1823 (/course/66669/1-5000-arabic-frequency-audio/121/)	
وَعْد	"promise, pledge"
بُكْرَة	(Egy.Lev.Gul.) tomorrow
سُنِّيّ	Sunni
بَرِيد	"mail, postal service; post office"
إِقْلِيم	"region, district; province (not منطقة، محافظة، دائرة)"
مُنْتَج	adj. produced; n. product;
مُنْتَجات	"products, manufactured goods"
رابِطَة	"association, union, league; tie, connection, link"
دَمار	"destruction, devastation, ruin"
حامِل	"adj. bearing, carrying; n. bearer, carrier; porter"
مُقابَلَة	"encounter, meeting; interview; (sports) match, game"
إِنْقاذ	"rescue, saving; relief, bailout"
تَفْجِير	"vn. blowing up, detonating; n. explosion"
تُراث	heritage; inheritance
قُنْبُلَة	"bomb, shell; grenade"
مَطْعَم	restaurant
*** 1824 - 1839 (/course/66669/1-5000-arabic-frequency-audio/122/)	
سُهُولَة	"ease, facility"
نالَ	"to attain, achieve (prize); to acquire, gain (distinction)"
مُحامٍ	"lawyer, defense counsel"
غِذائِيّ	"nutritional, food-related"
مِسْكِين	"n. poor soul, wretch; adj. poor, humble, miserable"
مِهْنَة	"vocation, trade, profession, occupation"
مَكْتَبَة	library; bookstore
مَظْهَر	"view; appearance, looks"
ظاهِر	"adj. evident, apparent; n. obvious"
تُراب	"dirt, soil"
وُضُوح	clarity;
بِوُضُوح	"clearly, plainly, explicitly"
مَكْتُوب	"adj. written; predestined; n. message, letter"
حاجِز	"n. obstacle, hurdle; adj. blocking, blockading"
رَغِبَ	"to wish for, desire, want sth"
مَوْرِد	"source, resource (not مصدر)"
*** 1840 - 1854 (/course/66669/1-5000-arabic-frequency-audio/123/)	
قَهْوَة	"coffee; café, coffeehouse"
مَطْلَب	"request; demand, claim; desired goal, objective (not طلب)"
مُشْرِف	"n. supervisor, director; adj. supervising, directing"
ضَرْب	"vn. beating, hitting, striking; n. strike, attack; n. type, kind, variety"
تَحَمَّلَ	"to bear, carry (burden); to shoulder (responsibility)"
مِفْتاح	"key (door, lock, computer keyboard); switch; wrench"
جَزَى	"to repay, reward sb"
جَزاك اللهُ خَيْراً	may God reward you! (used to express thanks for a service)
قَطَرِي	Qatari
سِرِّيّ	secret; private
تَشْغِيل	"operation, activation; employment, hiring"
وَدَعَ	"to let, allow sb to do sth;"
حُجَّة	"pretext, excuse; proof, evidence"
بِحُجَّةِ أنَّ	under the pretext that
مُسْتَعِدّ	"a.p. getting ready, preparing for sth; adj. ready, prepared"
أذن	ear
مُفاجَأَة	surprise
*** 1855 - 1869 (/course/66669/1-5000-arabic-frequency-audio/124/)	
عاجِل	"urgent, speedy"
عاجِلاً أو آجِلاً	sooner or later
فَصْل	"section, chapter; season; class, classroom; semester, term"
طاوِلَة	table
مُعْتَقَل	"prison camp; n. prisoner, detainee; adj. detained, held prisoner"
مَصْنَع	"factory, industrial plant"
أَصْغَر / صُغْرَى	"smaller/smallest; younger/youngest; adj. lesser, minor"
نادِر	"rare, unusual, infrequent"
نادِراً	"rarely, seldom"
مِقْدار	"extent, amount; value; degree, level, dosage"
مِهْنِيّ	"professional, vocational, occupational, trade  (not محترف)"
حِصَّة	"share, quota, portion; (school) class period"
عاشِر	tenth
نَصِيحَة	"advice, word of advice, counsel"
هَدَّدَ	"to threaten sb with (murder, blackmail); to threaten, intimidate sb with (a weapon)"
تِكْنُولُوجِيا	technology (not تقنية)
تَراجَعَ	"to retreat, back down/off from (a position); to lag behind, fall back, decrease"
*** 1870 - 1886 (/course/66669/1-5000-arabic-frequency-audio/125/)	
وَرَدَ	"to arrive, show up; to appear, be mentioned in (a text)"
مُساهَمَة	"participation, contribution (not اشتراك، مشاركة)"
شِيِعيّ	Shiite
تَعامَلَ	"to deal with sth/sb ( ب with); to work together, do business with sb"
بَحْرِيّ	"maritime, sea; naval, navy"
ذِهْن	"mind, thought, intellect (not عقل)"
أُولائِكَ	those (human) (not هؤلاء)
رِبْح	"winning, gaining; n. profit, gain; dividend, revenue; interest"
مُراجَعَة	"review, inspection; checking, consulting"
زَهْر	flower(s) / (not ورد)
تَصْوِير	"photography, filming; illustration; depiction, characterization, description"
بَنَى	"to build, construct, erect sth"
كَرامَة	"dignity, honor; generosity, magnanimity"
تَقَبَّلَ	"to receive, accept (not v.I)"
ِسِباق	race; competition (س)
مُحافَظَة	"vn. protection, preservation; guarding, safeguarding; n. conservatism, modesty"
دِرْهَم	dirham
*** 1887 - 1901 (/course/66669/1-5000-arabic-frequency-audio/126/)	
مُقَدَّم	"n. offered, submitted; advanced, ahead of schedule; n. lieutenant colonel"
مُقَدَّماً	"in advance, beforehand"
كُوَيِّس	"(Egy.Lev.) good, nice; adv. well"
جَدْوَل	"table, chart; schedule; stream, rivulet"
مُنافَسَة	"competition, rivalry"
مَسار	"path, route; n. trajectory, orbit"
سَفارَة	embassy
خَلِيَّة	"(biological, political) cell; beehive"
صَرَخَ	"to shout, scream"
حَلَمَ	to dream of sth/sb
تَغَيُّر	"change, variation"
فَوْضَى	"chaos, anarchy"
اِسْتِقْلال	independence
وَدَّ	"to want, like sth or to do sth"
ضَرِيبَة	"tax, levy"
عَلا	"to rise, ascend, loom; to be elevated"
*** 1902 - 1916 (/course/66669/1-5000-arabic-frequency-audio/127/)	
عِنايَة	"care, concern, attention, regard"
مُوَجَّه	"directed, aimed"
ذَهَب	gold
قاسٍ	"harsh, cruel, severe (not شديد، صارم)"
إنتو / إنتوا	(Dia.) you (pl.)
طائِفَة	"faction, sect"
صَرْف	"spending, changing (money); diverting (attention);"
بِصَرْفِ النَظَرِ عن	regardless of;
هـ	(Lev.Irq.Gul.) this  (prefix)
مُواصَلَة	"vn. continuation, continuing; n. communication, connection;"
مُواصَلات	(public) transportation
إِنْهاء	"termination, completion, ending   (not نهاية)"
فَراغ	"vacuum, empty space; free time, leisure"
تَشْرِيعيّ	legislative
آل	"family, clan"
فَصَلَ	"to separate, detach, disconnect sth; to dismiss, fire sb; to lay sb off, let sb go; to hang up (phone), get off (the line); to get disconnected, get cut off; to render a judgment, reach a decision"
سَمَك	fish
*** 1917 - 1931 (/course/66669/1-5000-arabic-frequency-audio/128/)	
تَوَجُّه	"attitude, orientation, approach (V)"
رَدَّدَ	"to repeat, reiterate sth (II, not كرر)"
إِذاعَة	"vn. broadcasting; n.  broadcast, transmission"
تَأْسِيس	"establishment, foundation; creation; installation"
تَحَرُّك	"movement, activity, motion (V)"
تَشْجِيع	"encouragement, promotion, support"
نادَى	"to call ب for sth/sb; to call على for sb; to call out, announce ( ب) sth"
مَنَحَ	"to grant, bestow, award sb sth or sth ل to sb"
كَبُرَ	"to grow up, grow older; to get bigger"
فاعِل	"effective, efficient; active; n. doer, agent;"
أيوا	(Dia.) yes
بَرَكَة	blessing
خالِص	"sincere; pure, clear; (Lev.) finished (with), (having) completed; ready; done, over, ended; depleted; (Egy.) adv. very, totally"
مِيلاد	birthday; birth;
عِيد المِيلاد	Christmas
إِجْمالِيّ	"comprehensive, full; total, gross"
*** 1932 - 1946 (/course/66669/1-5000-arabic-frequency-audio/129/)	
شِعْرِيّ	poetic
نِطاق	"scope, range, extent"
مُعاناة	"effort; hardship, suffering"
تَأَكُّد	"assurance, confirmation (of); certainty, conviction"
تَكْوِين	"creating, forming; educating, training (specialists); n. structure; education, formation"
راد	"(Irq.Gul.) to want, need sth, or (with imperf.) to want to do sth"
تَمَيَّزَ	"to stand out, distinguish oneself ب by, due to ( على compared with, above); to be different عن from"
قَدَر	"fate, destiny (not مصير)"
تَوَتُّر	"tension, strain, unrest; (electrical) tension"
دِقَّة	"accuracy, precision; minuteness"
كِيان	"entity; essence, being; structure"
رَبِيع	spring (season)
مُؤَقَّت	"temporary, interim, provisional"
مُؤَقَّتاً	temporarily
بُكاء	"crying, weeping"
رَصاص	lead (metal); coll.n. bullets
*** 1947 - 1961 (/course/66669/1-5000-arabic-frequency-audio/130/)	
تَفاهُم	"mutual understanding, mutual comprehension"
حَكِيم	"adj. wise; n. wise man, sage; philosopher; (Lev.) physician, doctor;"
طُفُولَة	"childhood, infancy; youth"
جَلَّ	"to be majestic, exalted, lofty (of God);"
سَرِير	"bed, couch"
عَجُوز	"old person, elderly"
فاقَ	"to surpass, excel sth/sb; to wake up, regain one’s senses"
إِيطالِيّ	Italian
أَرْضِيّ	"adj. ground, land; ground-based, land-based"
مُضِيف	"host, steward; fem. stewardess, hostess; a.p. adding; adj. (in sports) home (team), hosting (club)"
اِسْتِغْلال	"utilization; exploitation, taking advantage (of an opportunity)"
مِيزان	"weight scales, balance; measure, standard"
سائِق	"chauffeur, driver"
مَدْخَل	"entrance; introduction, beginning"
مُحاضَرَة	lecture
*** 1962 - 1976 (/course/66669/1-5000-arabic-frequency-audio/131/)	
هَيَّا	let’s…! let’s go!
مَقْبُول	acceptable; welcome
تَرْبَوِيّ	"pedagogical, educational; related to child-rearing or breeding"
مُحْتَلّ	"occupied (land); filled (post, position)"
تَعَرُّف (على)	"getting to know sb, becoming acquainted with sb"
صُبْح	"morning, daybreak (صباح، فجر not)"
اِنْتَشَرَ	"to spread out, extend; to be diffused, be publicized"
حَضارِيّ	cultural; civilized
خاطِر	"idea, thought; mind, feeling; wish, volition; inclination"
عَشان خاطِر	"(Egy.) for the sake of; so that, in order to;"
خِتام	"conclusion, closure, end"
آنِي	I (Irq.Alg.)
مُثَقَّف	"n. intellectual; adj. cultured, educated, cultivated"
اِجْتَمَعَ	"to meet, hold a meeting مع/ب with"
خَيال	"imagination, fantasy;"
الخَيال العِلْمِيّ	the science fiction
مُتَواصِل	"continuous, constant, unceasing; connected"
*** 1977 - 1991 (/course/66669/1-5000-arabic-frequency-audio/132/)	
جَرِيح	"wounded, injured"
مُسْتَشار	"counselor, adviser"
اِمْتَلَكَ	"to possess, own sth (not ملك)"
جِنْس	"gender, sex; sexual intercourse; type, kind"
غِذاء	"food, nourishment"
جاي	"(Dia.) coming, arriving; adj. next; (with object pron.)"
سِلْمِيّ	peaceful
جَنْب	side
جَنْبَ	next to;
جَنْباً إلى جَنْبٍ	side by side;
تَجَمُّع	"vn. gathering, assembly; grouping"
فَحْص	"examination, check-up (medical), test (blood, IQ)"
سَعْي	"endeavor, pursuit; striving, endeavoring"
آلَة	"instrument, device; apparatus, appliance, machine"
عَرِيض	"wide, broad; bold (line)"
رَفِيق	"companion, partner, colleague; comrade"
رِفْقات	"(Lev.) friends, buddies, companions"
تَسْلِيم	"delivery, handing over; surrender"
*** 1992 - 2005 (/course/66669/1-5000-arabic-frequency-audio/133/)	
اِسْتِعْمال	"use, usage; handling; application"
عَكَسَ	"to reflect, mirror (light, image); to contradict or oppose sb"
رَوَى	"to tell, narrate sth; to report, provide an account of sth  (not حكى)"
كَشْف	"revelation, disclosure, report;"
كَشْف النِّقاب عن	"exposing, uncovering sth; examination, detection"
خُطُورَة	"significance, importance; seriousness, gravity; danger"
عِشْرِين	twentieth year;
العِشْرِينات	the Twenties
ذَنْب	"fault, offense, misdeed (not خطأ، غلطة، عيب)"
تَفْسِير	"explanation, commentary;  Qur'anic exegesis"
جَناح	"wing (of a bird, airplane, building; army wing; political wing; wing position (in soccer and basketball); flank"
