*** 1 - 25 (/course/66563/koine-greek-3/1/)	
ὁ 	"the, who, which"
ἐνενήκοντα	ninety
ἡ ἐνθύμησις	"inborn idea, esteem, thought"
ἐξαγοράζω	"to buy time, redeem"
ἔξειμι	"to go out, go away"
ἐξουσιάζω	"to exercise authority, have power"
ἐπακολουθέω	to follow
τὸ ἐπίβλημα	"piece, house robe"
ἡ ἐπιβουλή	plot
ἡ ἐπίθεσις	laying on
ἡ ἐπισκοπή	"visitation, office, census; providence"
ἐπιστηρίζω	"to strengthen, support"
ἐπιφαίνω	"to appear, shine on"
ἐπιφωνέω	"to cry, answer"
ἑπτάκις	seven times
ἡ ἐρημία	"desert, solitude, desolation"
τὸ ἑρπετόν	"reptile, creeping thing"
εὐλαβής	"reverent, cautious"
εὐοδόω	to prosper
ἡ ζημία	"loss, penalty"
*** 2001 - 2025 (/course/66563/koine-greek-3/81/)	
ζυμόω	"to ferment, cause to rise"
ἡ ἡσυχία	"silence, quiet"
ὁ Θεσσαλονικεύς	Thessalonian
θορυβέω	"to stir up, to trouble"
θρηνέω	"to lament, sing a dirge"
ἡ θρησκεία	"worship, religion"
τὸ Θυάτειρα	Thyatira
ἡ ἴασπις	jasper
ὁ ἱμάς	"thong, strap"
ἡ Ἰταλία	Italy
καθίημι	"to let down, drop"
καθό	"according to, as, because"
κακολογέω	"to speak evil of, curse"
κακοποιέω	"to do evil, harm"
κακοῦργος	"evil, evil-doer, criminal"
τὸ κάλυμμα	"veil, covering"
ἡ κάμηλος	camel
ἡ κάμινος	furnace
κάμπτω	to bend
ἡ Κανά	Cana
ὁ κανών	"rail, post; limit, rule; principle; canon"
κατάγνυμι	"to break, shatter"
κατακαυχάομαι	to boast against
ὁ κατακλυσμός	"flood, deluge"
κατακυριεύω	to have power over
*** 2026 - 2050 (/course/66563/koine-greek-3/82/)	
ἡ καταλλαγή	reconciliation
καταπαύω	"to put to rest, depose"
κατασείω	"to make a sign, give a signal"
κατασκηνόω	"to live, settle, nest"
καταφέρω	"to bring down, flow down, fall"
ὁ κατήγορος	accuser
καυματίζω	to scorch
κείρω	"to cut, shave, shear"
τὸ κέντρον	"sting, goad"
ὁ κῆνσος	tax
ἡ κιθάρα	"harp, lyre"
κινδυνεύω	to be in danger
τὸ κλῆμα	branch; root
ἡ κοίτη	"bed, marital relationship"
κολοβόω	"to shorten, cut off"
κραταιόω	"to become strong, prevail"
κράτιστος	most excellent
τὸ κτῆμα	possession
τὸ κτῆνος	animal
τὸ κτίσμα	"what is created, creature"
κυκλόω	"to surround, encircle"
κυλλός	crippled
τὸ κυνάριον	dog
ἡ κυριότης	"power, authority"
λαγχάνω	to receive; cast lots
*** 2051 - 2075 (/course/66563/koine-greek-3/83/)	
λάθρᾳ	secretly
τὸ λάχανον	vegetable
ἡ λέπρα	leprosy
τὸ λόγιον	"oracle, revelation; oracular breast-piece"
λοιδορέω	"to insult, scoff at, revile"
ὁ Λώτ	Lot
μαθητεύω	"to make a disciple of, teach"
μαλακός	"soft, fancy; homosexual"
ὁ μαμωνᾶς	"mammon (Aram. money, wealth)"
τὸ μάννα	manna
ἡ μάχη	"battle, quarrel, strife"
μάχομαι	"to quarrel, fight"
τὸ μέλι	honey
τὸ μεσονύκτιον	midnight
μετακαλέω	to call
μεταμορφόω	to change form
ἡ μετοικεσία	"deportation, captivity"
μηνύω	to make known
μίγνυμι	"to mix, mingle"
μιμέομαι	to imitate
ἡ μοιχαλίς	adulteress
μοιχάω	to commit adultery
ὁ μύλος	"mill, millstone; molar"
μωραίνω	"make foolish, tasteless"
ἡ νεότης	youth
*** 2076 - 2100 (/course/66563/koine-greek-3/84/)	
τὸ νῖκος	"victory, victory prize"
ὀδυνάω	to cause pain; to be in pain
ὁ οἰκέτης	"slave, servant"
ὁ ὄλεθρος	"destruction, ruin"
ὅλως	at all
ὁμιλέω	to associate with; to talk; to have intercourse
ὁμοῦ	together
ἡ ὄνος	donkey
ἡ ὀπτασία	vision
ἡ ὅρασις	sight; vision
ὀρθῶς	rightly
ἡ ὁρκωμοςία	"oath, oathtaking"
ὀρχέομαι	to dance
τὸ ὀστέον	bone
οὐδέπω	not yet
ὄφελον	I wish
τὸ ὀψώνιον	wages
παλαιόω	"to make or become old, wear out"
παραζηλόω	to make jealous
παρακολουθέω	to follow closely
παραμένω	"to remain, continue"
παραμυθέομαι	to comfort; appease
παρασκευάζω	to prepare
παραφέρω	"to take away, transport"
παραχειμάζω	to spend the winter
*** 2101 - 2125 (/course/66563/koine-greek-3/85/)	
πάροικος	stranger
ὁ πατριάρχης	family leader; patriarch
πειθαρχέω	to obey
πέμπτος	fifth
τὸ πέρας	"end, finish"
περιΐστημι	"to put around; stand around, avoid"
ἡ περισσεία	"advantage, abundance"
περισσῶς	all the more
πετρώδης	rocky place
ὁ πῆχυς	arm; cubit
πικραίνω	to make bitter
ἡ πικρία	bitterness
τὸ πλάτος	breadth
ὁ πλεονέκτης	greedy person
πλήν	"(+gen) only, except (prep.); but, nevertheless (conj.)"
ἡ πληροφορία	"full assurance, certainty"
πλουσίως	richly
τὸ ποίμνιον	flock
ὁ πολίτης	citizen
ὁ πόνος	"labor, toil; pain"
πόρρω	far away
ἡ πορφύρα	purple cloth
πορφυροῦς	purple
πού	somewhere
πραΰς	gentle
*** 2126 - 2150 (/course/66563/koine-greek-3/86/)	
προγράφω	to write formerly
προοράω	to see ahead of time
προςάγω	to bring to
ὁ προςήλυτος	resident alien; proselyte
πρόσκαιρος	temporary
ἡ προςωπολημψία	favoritism
ἡ πρωτοκαθεδρία	seat of honor
ὁ πύργος	tower
ῥαντίζω	to sprinkle
ἡ ῥύμη	street
ὁ σάκκος	sackcloth
σάρκινος	"fleshly, worldly, mortal, weak"
ἡ Σάρρα	Sarah
σεμνός	serious; reverent; (n) holiness
ὁ Σιλουανός	Silvanus
τὸ Σινά	Sinai
σκολιός	"crooked, bent"
σκύλλω	to trouble
τὸ σουδάριον	handkerchief
σπουδαίως	earnestly
στέγω	to cover; to endure
ἡ στενοχωρία	distress
στερεός	"firm, solid"
ἡ στοά	"porch, portico"
τὸ στρουθίον	small sparrow; ostrich
*** 2151 - 2175 (/course/66563/koine-greek-3/87/)	
ὁ στῦλος	pillar
συγκλείω	to shut up; make a prisoner
συγκληρονόμος	sharing inheritance together; co-inheritor
ὁ συγκοινωνός	participant
τὸ σῦκον	fig
συμβουλεύω	"to advise, counsel"
συμπαραλαμβάνω	"to take with, take along"
συμπορεύομαι	"to come with, go with"
συναρπάζω	"to seize, catch up"
ὁ σύνδεσμος	"ligament, joint; bond, chain; conspiracy"
συνετός	intelligent
τὸ σωτήριον	salvation; peace-offering
σώφρων	self-controlled; wise
τὸ ταμεῖον	inner room
ἡ ταπείνωσις	humiliation
ὁ ταῦρος	bull
ὁ τετραάρχης	tetrarch
τετρακόσιοι	four hundred
ὁ τεχνίτης	craftsman
τηλικοῦτος	so great
ὁ τράγος	male goat
ὑμνέω	"to sing a hymn, praise song; to praise"
τὸ ὑπερῷον	upstairs room
ὑποδέχομαι	to receive
ὑποςτέλλω	to draw back
*** 2176 - 2200 (/course/66563/koine-greek-3/88/)	
ἡ ὑποταγή	obedience
ἡ φάτνη	"manger, feeding trough, stall"
ὁ Φίλιπποι	Philippi
ὁ φραγμός	"fence, wall"
τὸ φρόνημα	mind
φρουρέω	"to keep, to guard; to set a garrison"
ἡ χάλαζα	"hail, hailstone"
χλωρός	green
χοϊκός	made of earth
ψηλαφάω	"to touch, feel"
ψυχρός	cold
τὸ ψωμίον	piece of bread
ἡ ὠδίν	"birth-pains, pain"
ὡραῖος	beautiful
ὠφέλιμος	beneficial
ἀββά	(Aram.) Father; (fem.) Abiah
ὁ Ἀβιά	Abijah
ἀγγαρεύω	to compel
ἡ ἁγιωσύνη	holiness
ἄγριος	wild
ἀδημονέω	to be very heavy
τὸ ἀδίκημα	"sin, unrighteousness"
ἡ ἀθανασία	immortality
αἱρέω	to choose
τὸ αἴτημα	request
*** 2201 - 2225 (/course/66563/koine-greek-3/89/)	
ἡ αἰχμαλωσία	"captivity, captives"
ἀκέραιος	harmless
ἀκυρόω	"to cancel, nullify, render powerless, destroy"
ἄλαλος	speechless
ἅλλομαι	"to leap, jump up"
ἀλοάω	to thresh
ἄλογος	speechless; unutterable; irrational; unexpected
τὸ ἄλφα	alpha
ἡ ἀλώπηξ	fox
ὁ Ἀμιναδάβ	Aminadab
ἀμφιέννυμι	to clothe
ὁ Ἀμώς	Amos; Amoz; Amon
ἄν	if
ἡ ἀνάγνωσις	reading
ἀναζητέω	"to seek, to investigate"
ἀναστατόω	"to agitate, subvert, overthrow"
ἀνατρέπω	"to overthrow, throw down, overturn"
ἀνατρέφω	"to nourish, bring up, educate"
ἀνεπίλημπτος	"blameless, irreproachable"
ἀνέρχομαι	"to go up, return, enter"
ἄνευ	(+gen) without
ἀνήκω	"to belong to, relate to, be convenient"
ὁ ἀνθρωποκτόνος	murderer
ἀνορθόω	"to raise, lift up, restore, make straight"
ἀντιλαμβάνω	"to take hold of together, support, take part in"
*** 2226 - 2250 (/course/66563/koine-greek-3/90/)	
ἀπαίρω	"to remove, lead away"
ἀπαλλάσσω	"to set free, remove, put away"
ἀπαλλοτριόω	"to estrange, alienate, be a stranger"
ἡ ἀπάντησις	"meeting, appointment, occurrence"
ἀπατάω	to deceive
ἡ ἀπειλή	"threatening, threat"
ἀποκαταλλάσσω	to reconcile
ἀπόκρυφος	hidden
τὸ ἀποςτάσιον	"departure, divorce notice"
ἀποςυνάγωγος	banished from a synagogue
ἀποφεύγω	to escape
ἀποφθέγγομαι	to utter
ἀποχωρέω	to depart
ἀπρόσκοπος	blameless
ἆρα	then
ἀργυροῦς	made of silver
ἀριθμέω	to number
ἀριστάω	to dine
τὸ ἄριστον	breakfast; noon meal
ἀρκετός	sufficient
ἀροτριάω	to plow
ἡ ἁρπαγή	"extortion, robbery, seizure"
ὁ ἀρραβών	down payment
ἀρτύω	to season
ὁ ἀρχιτρίκλινος	head steward
*** 2251 - 2275 (/course/66563/koine-greek-3/91/)	
ἄσβεστος	unquenchable; (n.) unblemished (plaster)
ἀστοχέω	"to lose one’s way, miss, fail"
ἡ ἀσφάλεια	safety
ἀσφαλῶς	safely
ἡ ἀσωτία	reckless living; debauchery
αὐλέω	to play a flute
ἄφνω	suddenly
ἀχειροποίητος	made without hands
ὁ Βαλαάμ	Balaam
ἡ βάσανος	"torment, torture"
ὁ βάτος	thorn-bush
ἡ βάτος	thorn-bush
ἡ Βερνίκη	Bernice
ἡ Βηθφαγή	Bethphage
ἡ βία	violence
τὸ βιβλαρίδιον	"small scroll, book"
βιωτικός	pertaining to this life
ὁ βόθυνος	"ditch, pit, trench"
τὸ βούλημα	"counsel, will, intent"
βραδύς	slow
ὁ βραχίων	arm
βραχύς	"short, small, little"
ὁ βυρσεύς	tanner
ἡ γαλήνη	calmness
ὁ Γαλλίων	Gallio
*** 2276 - 2300 (/course/66563/koine-greek-3/92/)	
ὁ γείτων	neighbor
ἡ Γεννησαρέτ	Gennesaret
Γερασηνός	Gerasene
ἡ Γολγοθᾶ	Golgotha
ἡ Γόμορρα	Gomorrah
ὁ γόμος	cargo
ἡ γυμνότης	nakedness
δεικνύω	to show
δειλός	"cowardly, afraid"
δεκαπέντε	fifteen
ἡ Δεκάπολις	Decapolis
δελεάζω	to entice
ἡ Δέρβη	Derbe
δεσμεύω	to bind
τὸ δεσμός	"bond, chain, imprisonment"
ὁ δεσμοφύλαξ	jailer
δῆλος	"evident, clear"
ὁ Δημᾶς	Demas
ὁ Δημήτριος	Demetrius
διαβαίνω	"to cross over, come over; transcend"
διαβλέπω	to see clearly
διαγγέλλω	to announce through a messenger; to preach
διαγίνομαι	to live; to pass time
τὸ διάδημα	"crown, diadem"
διαζώννυμι	"to wrap around, put on"
*** 2301 - 2325 (/course/66563/koine-greek-3/93/)	
ἡ διαίρεσις	diversity
ἡ διάκρισις	"dispute, dissolution"
διαρπάζω	"to seize, despoil, plunder"
διασπείρω	to scatter abroad
ἡ διασπορά	"Diaspora, dispersion"
ἡ διαστολή	"order, distinction"
διαφημίζω	to spread around
διδακτός	taught
ὁ Δίδυμος	Didymus (Twin)
διΐστημι	"to set apart, separate"
ἡ δίκη	"punishment; justice, right, custom"
διπλοῦς	double
δίστομος	two-edged
ἡ δούλη	slave (f)
ἡ δραχμή	drachma (weight or coin)
ὁ δρόμος	"race-course, race; circuit"
ὁ δυνάστης	"ruler, king, official"
δυνατέω	"to be able, powerful"
δυσκόλως	with difficulty
δωρέομαι	to give
ἐάνπερ	"if only, if indeed"
Ἑβραΐς	Hebrew/Aramaic
ἐγγράφω	"to inscribe, write"
ἑδραῖος	steadfast
ἡ εἰλικρίνεια	sincerity
*** 2326 - 2350 (/course/66563/koine-greek-3/94/)	
ἑκατονταπλασίων	hundredfold
ἐκδημέω	to be absent
ἐκκλάω	"to break open, break off"
ἐκκλίνω	"to bend away, pervert, turn away"
ἐκπλέω	to sail
ἐκπνέω	"to expire, die"
ἐκτενῶς	"constantly, earnestly"
ἐκψύχω	"to faint, die"
ἐλάσσων	"worse, less"
ἐλαττόω	"to lower, make less"
ὁ Ἐλιακίμ	Eliakim
τὸ ἕλκος	"wound, sore, ulcer"
ὁ Ἑλληνιστής	Hellenist
ἐναντίον	(+gen) before
ἑνδέκατος	eleventh
ἐνδημέω	to be at home
ἐνεργής	"active, effective"
ἐνέχω	to have a grudge against; be entangled
τὸ ἔνταλμα	commandment
ἔντρομος	trembling
ἐντυλίσσω	to wrap in
ὁ Ἑνώχ	Enoch
ἐξακολουθέω	to follow
ἐξανίστημι	"to raise up, rise up"
ἐξετάζω	to scrutinize; to examine carefully
*** 2351 - 2375 (/course/66563/koine-greek-3/95/)	
ἡ ἔξοδος	"departure, end, death, Exodus"
ἐξώτερος	"outer, outermost"
ἐπάγω	to bring upon
ἐπάν	"when, as soon as"
ἐπανάγω	"to bring, return"
ἐπαρκέω	"to supply, help, assist"
ὁ Ἐπαφρᾶς	Epaphras
ἐπιβαρέω	to be a fiscal burden on
ἐπιβιβάζω	"to set on, put on"
ἐπιβλέπω	"to look on with care, attentiveness"
ἐπιμελέομαι	to take care of
ἐπιστέλλω	to write
ὁ ἐπίτροπος	"steward, guardian, administrator; procurator"
ἐπιχειρέω	"to undertake, attempt"
ὁ Ἔραστος	Erastus
ἡ ἐρήμωσις	desolation
ἑρμηνεύω	to interpret
ἡ ἑσπέρα	evening
ὁ Ἑσρώμ	Hesrom
ὁ ἑταῖρος	"friend, companion; accompanying"
ἑτοίμως	readily
ὁ εὐαγγελιστής	evangelist
εὐαρεστέω	"to please, be pleasing"
εὐγενής	of high or noble birth
εὔθετος	"fit, well-fitting"
*** 2376 - 2400 (/course/66563/koine-greek-3/96/)	
εὐθυμέω	to take courage; cheer up
εὐκαιρέω	to have leisure
εὐσεβής	"godly, pious"
εὐσχημόνως	honestly
ἡ εὐχή	"prayer, vow"
εὔχρηστος	"profitable, useful"
ἡ εὐωδία	"fragrant aroma, sweet smell"
ἐχθές	yesterday
ὁ Ζαβουλών	Zebulun
ὁ Ζακχαῖος	Zacchaeus
ζεστός	hot
ὁ Ζοροβαβέλ	Zerubbabel
ζώννυμι	"to fasten, dress"
ζῳογονέω	"to save life, keep alive"
ἡλίκος	"how great, how large"
ὁ Ἡρῳδιανοί	Herodians
ὁ Ἠσαῦ	Esau
ὁ ἦχος	"sound, noise; roar"
θαμβέω	"to amaze, be amazed"
τὸ θάμβος	deep sleep; fear; amazement
τὸ θέατρον	"theater, spectacle"
θεῖος	(adj) divine; (n) uncle
ἡ θεραπεία	"house servants; healing, medical treatment; purification"
τὸ θέρος	summer
θιγγάνω	to touch
*** 2401 - 2425 (/course/66563/koine-greek-3/97/)	
θροέω	"to alarm, stir"
τὸ ἴαμα	healing; remedy
ἡ ἴασις	"healing, health"
ὁ Ἰερεμίας	Jeremiah
ἱερός	"holy, sacred; (subst.) temple; (pl.) sacrifices"
ἡ ἱερωσύνη	priesthood
ὁ ἰός	poison
ὁ Ἰοῦστος	Justus
ἡ ἰσότης	equality
τὸ ἴχνος	"footprint, track"
ὁ Ἰωβήδ	Obed
ὁ Ἰωσῆς	Joses
ἡ καθαίρεσις	destruction
ἡ καθέδρα	seat
ὁ Κάϊν	Cain
κακοπαθέω	to suffer hardship
ὁ κακοποιός	mischievous; evil-doing
καταγελάω	to laugh at
καταγινώσκω	to condemn
κατακαλύπτω	to cover
τὸ κατάκριμα	condemnation
τὸ κατάλυμα	"inn, guest room"
καταμαρτυρέω	to witness against
καταναρκάω	to be a burden
καταξιόω	to consider worthy
*** 2426 - 2450 (/course/66563/koine-greek-3/98/)	
καταπίπτω	to fall down
κατέναντι	"(+gen) opposite, before, in the presence of"
κατενώπιον	(+gen) before
κατευθύνω	"to direct, keep straight, guide, prosper"
ἡ κατηγορία	accusation
κατισχύω	"to overcome, strengthen"
ὁ καύσων	burning heat
ὁ κεντυρίων	"centurion, leader of a hundred"
ὁ κεραμεύς	potter
κεράννυμι	"to mix, mingle"
τὸ κέρδος	gain
ὁ κῆρυξ	"herald, preacher"
