и	and
удерживать/удержать	"to hold back, retain; hold onto; restrain (+a)"
сумка	"bag, handbag"
ценить (+a)	to value
сурово	severely
поднос	tray
поднятый	raised [not повышенный]
благодарный	grateful
воспитывать/воспитать	"to educate, bring up (+a)"
вспыхивать/вспыхнуть	"to blaze up, flare up"
в-третьих	thirdly
выгонять/выгнать	"to expel, drive out (+a)"
вытягивать/вытянуть	to stretch out (+a)
гений	genius
героический	heroic
зарабатывать/заработать	to earn (+a)
изволить	"to wish, desire; deign"
интересовать/за-	to interest (+a)
ишь	look (drawing attention to sth) (coll)
классический	classical
климат	climate
марш	march
медведь	bear
мрачный	"gloomy, baleful"
наполнять/наполнить	to fill (+a)
недавний	recent
неизбежно	inevitably
неподвижный	motionless
освещение	illumination
оттенок	"shade, nuance"
папка	"file, folder"
повышать/повысить	to raise (+a)
понадобиться	to be necessary
приступать/приступить (к +d)	"to get down to, start on"
продолжение	continuation
проявление	"manifestation, display"
публика	public [noun]
будить/раз-	"to wake, rouse (+a)"
разница	difference
решётка	"grating, grille, railings"
свинья	pig
свистеть/свистнуть	to whistle
скромный	modest
слегка	slightly
смертный	fatal; mortal
снижение	lowering
сочетание	combination
тряпка	rag
философский	philosophical
царство	kingdom
этаж	"floor, storey"
банк	bank (for money)
блестеть	to shine
братец	"old man, mate (form of address)"
величие	greatness
голодный	hungry
громкий	loud
дважды	twice
ежегодно	annually
запасной	"spare, reserve"
запись	recording; written record
засыпать	"to fill sth, cover sth with sth (+a +inst)"
знакомство (с +inst)	"acquaintance (with), knowledge (of)"
избирать/избрать	"to choose, elect; select (+a)"
изредка	occasionally
имущество	"property, possessions"
кость	bone
манера	manner
несчастье	misfortune
нетрудно	(it’s) not difficult
оркестр	orchestra
отдалённый	"distant, remote"
откровенный	frank
ошибаться/ошибиться	to make a mistake
пёстрый	"many-coloured, motley [not разноцветный]"
вешать/повесить	to hang (+a)
помещать/поместить	"to accommodate, place (+a)"
предположение	supposition
предупреждать/предупредить	"(+a о +pr) to warn (s.o. about sth), tell in advance"
проживать/прожить	to reside; (p) live for a specified period
пятьсот	five hundred
равенство	equality
рассуждать	to reason; (o +pr) discuss
сзади	from behind
сибирский	Siberian (adj)
скатерть	tablecloth
смирно	quietly
соображение	"consideration, reason"
специально	specially
стрела	arrow
струя	"jet, stream"
узел	knot; junction; bundle
усмешка	slight smile; sneer; smirk
успешный	successful
учебный	educational
яблоко	apple
аккуратно	thoroughly; tidily
бедствие	disaster [not катастрофа]
ближний	near
бытовой	"social, everyday"
введение	introduction
владеть/о- (+inst)	to possess; have command of; master
возрастать/возрасти	to grow
гаснуть/по-	"to go out, be extinguished, fade"
данные	data; qualities
девица	girl
отрывать/оторвать	"to tear off, tear away (+a от +g)"
дневник	diary
дружественный	friendly
заведующий (+inst)	"manager, head (of)"
исследователь	researcher
истинный	TRUE
картинка	"picture, illustration"
когда-нибудь	ever; some day
коса	plait; scythe
кошка	cat (f)
кризис	crisis
кусочек	small piece
милиция	police [not полиция]
молния	lightning
мышь	mouse
намерение	intention
натура	"nature, character"
оканчивать/окончить	(+a) to finish; graduate (from)
отчёт	report
поворачиваться/повернуться	to turn round
повышенный	raised [not поднятый]
политик	politician
