*** 1 - 10 (/course/195613/spanish-nouns-4/1/)	
el pajecillo	little page
*** 4201 - 4210 (/course/195613/spanish-nouns-4/423/)	
los boloñeses	Bolognese
el checheno	Chechen
la regidora	Councillor
el corintio	Corinthian
la desforestación	deforestation
el inmunólogo	immunologist
el lombardo	Lombard
la mamaíta	Mommy
el palentino	Palencia
el rescatador	rescuer
*** 4221 - 4230 (/course/195613/spanish-nouns-4/424/)	
el avenamiento	drainage
el azaque	zakat
el barrenero	driller
el bastoncito	"cane, walking stick, baton"
la benefactora	benefactress
el bisbiseo	whispering
el bureo	razzle
el calafateo	calk
el cantonés	canton
el cardenillo	verdigris
*** 4241 - 4250 (/course/195613/spanish-nouns-4/425/)	
la digestibilidad	digestibility
(el)(la) diletante	"dilettante, dabbler"
la disimilación	dissimilation
el dujo	duced
la electrotecnia	electrical engineering
el embelesamiento	rapture
el empalagoso	sickly sweet
el entrehierro	"air gap, spark gap"
el epicúreo	"epicurean, gourmet"
la erogación	outlay
*** 4251 - 4260 (/course/195613/spanish-nouns-4/426/)	
el esculapio	Aesculapius
el étimo	etymon
el externado	externship
(el)(la) farfulla	"jabber, sputter, babbling"
la finalísima	finals
la fotosensibilidad	photosensitivity
el fulcro	fulcrum
el funículo	funiculus
la greca	border
la harinera	flour mill
*** 4271 - 4280 (/course/195613/spanish-nouns-4/427/)	
el maltusianismo	Malthusianism
la mandataria	"leader, attorney"
la mendacidad	mendacity
el natural	"native, nature"
la necromancia	necromancy
el neocórtex	neocortex
la neuroanatomía	neuroanatomy
el obscurantismo	obscurantism
la obsequiosidad	obsequiousness
la orientadora	"career advisor, counsellor"
*** 4261 - 4270 (/course/195613/spanish-nouns-4/428/)	
la heredada	inherited
el hermafroditismo	hermaphroditism
la hiperestesia	hyperesthesia
la histerectomía	hysterectomy
la irreligiosidad	irreligion
la jugosidad	"fruitiness, sappiness"
la juzgadora	judging
la laureola	spurge laurel
el limitador	limiter
la limonita	limonite
*** 4301 - 4310 (/course/195613/spanish-nouns-4/429/)	
la tetania	tetany
la tontina	tontine
el tranquillo	knack
la traspuesta	transposition
la treonina	threonine
la veranda	"veranda, verandah"
la vertedera	moldboard
el vindicador	vindicator
la zafiedad	rudeness
el zapoteco	Zapotec
*** 4281 - 4290 (/course/195613/spanish-nouns-4/430/)	
la ortoclasa	orthoclase
el pangermanismo	Pan-Germanism
la pelagra	pellagra
la perentoriedad	"peremptoriness, instancy"
la piamadre	pia mater
el pífano	fife
la prefabricación	prefabrication
el pudín	pudding
la recula	recoils
el refrescamiento	cooling
*** 4321 - 4330 (/course/195613/spanish-nouns-4/431/)	
la chancha	"sow, small wooden cart, bike"
el evaluador	assessor
el atalaje	"team, team of horses"
el contralto	"alto, contralto"
el amonites	ammonites
la andina	Andean
la iracunda	angry
la anquilosis	"ankylosis, anchylosis"
el mogote	antler
el artrópodo	arthropod
*** 4291 - 4300 (/course/195613/spanish-nouns-4/432/)	
el regador	"irrigator, watering can"
la retentiva	retentive
la roldana	sheave
la semicircunferencia	semicircumference
la sobreimpresión	overprint
el subnivel	sublevel
el sueñecito	"nap, catnap"
el tambaleo	"stagger, lurch, sway"
la tarjetita	little card
la terribilidad	terribleness
*** 4311 - 4320 (/course/195613/spanish-nouns-4/433/)	
el placaje	tackle
la congratulación	congratulation
el guache	"rustic, peasant, hick"
el captador	sensor
la marisabidilla	know-all
la pescada	hake
el cafetero	"coffee grower, coffee planter"
el improperio	insult
la quisquilla	shrimp
(el)(la) tratadista	writer
*** 4331 - 4340 (/course/195613/spanish-nouns-4/434/)	
(el)(la) ascendente	ascendant
el cenizo	"ashen, jinx"
la azalea	azalea
el mochilero	backpacker
(el)(la) bautista	baptist
los cirrípedos	barnacles
los devenires	becomings
los estores	Blinds
la criadora	brooder
el verderón	"bunting, ortolan"
*** 4361 - 4370 (/course/195613/spanish-nouns-4/435/)	
la excomulgada	excommunicated
la expositora	exhibiting
el alimentador	"feeder, feed"
el franchute	"frog, froggy"
(el)(la) genealogista	genealogist
el ginebrino	Genevan
el gerifalte	gerfalcon
la habitud	habitude
el hawaiano	Hawaiian
la hemocromatosis	hemochromatosis
*** 4341 - 4350 (/course/195613/spanish-nouns-4/436/)	
los carnales	carnal
el chárter	charter
el extensor	chest expander
las clarisas	Clare
la clemátide	clematis
las faldillas	"coat-tails, tail"
la plebeya	"commoner, plebeian, pleb"
la compresa	"compress, sanitary napkin, pack"
(el)(la) conformista	conformist
el contribuidor	contributor
*** 4371 - 4380 (/course/195613/spanish-nouns-4/437/)	
la tenedora	holding
el cóncavo	"hollow, cavity"
el hipnótico	hypnotic
la plaquita	insert
la trapisonda	"intrigue, swindle, scuffle"
la cogujada	Lark
el linimento	liniment
el megavatio	megawatt
el malogro	"miscarriage, failure"
los monotremas	monotremes
*** 4351 - 4360 (/course/195613/spanish-nouns-4/438/)	
el discutidor	controversialist
el consocio	copartner
la definidora	defining
el disimulador	"dissembler, dissimulator"
la trainera	drifter
los resecos	dry
el volquete	"dump truck, dumper, tipper lorry"
la espaldera	"espalier, trellis, wall bars"
los evasores	evaders
el efugio	"evasion, subterfuge"
*** 4391 - 4400 (/course/195613/spanish-nouns-4/439/)	
los fócidos	phocids
el alfilerazo	"pinprick, prick"
la meada	piss
el plagiario	"plagiarist, plagiary"
las caquitas	poop
el propiciador	propitiator
la pústula	"pustule, blotch"
el retrovisor	"rearview, rear mirror"
el juncal	reed bed
el reps	rep
*** 4401 - 4410 (/course/195613/spanish-nouns-4/440/)	
la encuestada	respondent
la hueva	"roe, hard roe, spawn"
el lija	"sandpaper, dogfish"
el sardo	Sardinian
el raspador	"scraper, rasp"
la carilla	"side, side of paper, veneer"
la simia	simian
(los)(las) simples	simple
el eslizón	skink
la babucha	"slipper, mule, sleeper"
*** 4381 - 4390 (/course/195613/spanish-nouns-4/441/)	
los escopeteros	musketeers
el mitólogo	mythologist
(el)(la) narcisista	narcissist
(los)(las) norvietnamitas	North Vietnamese
el numerario	"numerary, member"
la osteoartritis	osteoarthritis
el oxalato	oxalate
los papeles	papers
la pagadora	paying
el afilador	"pencil sharpener, sharpener"
*** 4411 - 4420 (/course/195613/spanish-nouns-4/442/)	
la tría	sorting
el rociador	sprayer
el nublado	"storm cloud, threat"
la sobrevesta	surcoat
el porquerizo	swineherd
el pichel	tankard
los tasios	Tasios
la lanzada	thrust
el gamberro	"thug, hooligan, thuggish"
la tiroiditis	thyroiditis
*** 4421 - 4430 (/course/195613/spanish-nouns-4/443/)	
(el)(la) lameculos	"toady, smoothie, bootlicker"
el toreador	toreador
el rodado	track
el ugandés	Ugandan
el descarrío	waywardness
los atuneros	tuna
la católica	Catholic
el lacito	bow tie
la feligresa	parishioner
la lisonjera	flatterer
*** 4491 - 4500 (/course/195613/spanish-nouns-4/444/)	
la laparotomía	laparotomy
la leonesa	Leon
el limoneno	limonene
el ludo	ludo
la macedonia	"Macedonia, fruit salad"
el magenta	magenta
la maleficencia	maleficence
la maletita	suitcase
el mambrú	Mambrú
el mecate	"rope, cord"
*** 4431 - 4440 (/course/195613/spanish-nouns-4/445/)	
la mentirosa	"liar, deceiver"
la misionera	missionary
(el)(la) neandertal	Neanderthal
la neerlandesa	Netherlander
la rockera	rocker
la sarracena	Saracen
la certificadora	certification
el trinitario	Trinitarian
el abrasivo	abrasive
el acicalamiento	grooming
*** 4471 - 4480 (/course/195613/spanish-nouns-4/446/)	
el desollador	skinner
el despertamiento	"awakening, revival"
la dietética	dietetics
la disneylandia	disneyland
el echarpe	"shawl, scarf"
el encaprichamiento	whimsy
la esteva	"plowtail, ploughtail"
la estrafalaria	quirky
el fenobarbital	phenobarbital
la filmadora	imagesetter
*** 4441 - 4450 (/course/195613/spanish-nouns-4/447/)	
la acidia	acedia
el acorralamiento	round-up
la advección	advection
el agutí	agouti
el andantino	andantino
el angor	angina
el antejuicio	impeachment
el apagamiento	quenching
la automación	automation
la autopolinización	selfing
*** 4451 - 4460 (/course/195613/spanish-nouns-4/448/)	
el barrón	Marram
la biofísica	biophysics
el calicó	calico
el campaneo	chime
(el)(la) capricornio	Capricorn
la caracterología	characterology
el cariñito	sweetie
la causticidad	"causticity, acridity"
la centaura	Knapweed
el charlestón	Charleston
*** 4481 - 4490 (/course/195613/spanish-nouns-4/449/)	
el fototropismo	phototropism
el fuet	conceited
el galvanismo	galvanism
el glucocorticoide	glucocorticoid
la gravimetría	gravimetry
la inculpabilidad	innocence
la indagadora	inquiring
la insaciabilidad	insatiability
la jareta	seines
el jurisperito	jurist
*** 4511 - 4520 (/course/195613/spanish-nouns-4/450/)	
la pechblenda	pitchblende
el pichoncito	pigeon
el pinabete	hemlock
el pirograbado	"pyrography, pyrogravure"
el pirronismo	Pyrrhonism
la pituitaria	pituitary
la pollería	poulterer's shop
el prerrafaelismo	pre-Raphaelitism
el proconsulado	proconsulate
la progenitura	offspring
*** 4461 - 4470 (/course/195613/spanish-nouns-4/451/)	
la chasca	"brushwood, mop of hair"
la clavazón	nailing
el cloral	chloral
la coligación	colligation
el colodión	collodion
la combustibilidad	combustibility
la conminación	injunction
el coproductor	co-producer
la cromita	chromite
la dedada	"dab, pinch"
*** 4501 - 4510 (/course/195613/spanish-nouns-4/452/)	
el meconio	meconium
la metalistería	metalwork
el mimeógrafo	mimeograph
la moduladora	modulating
el molimiento	achiness
el moscatel	"muscat, muscatel"
el mújol	mullet
la noguera	walnut
el notocordio	notochord
el panamericanismo	Pan-Americanism
*** 4531 - 4540 (/course/195613/spanish-nouns-4/453/)	
el sinsonte	mockingbird
la somatización	somatization
el subreino	subkingdom
la subrogada	surrogate
la termometría	thermometry
la translucidez	translucence
la tuberculina	tuberculin
la ucrania	Ukraine
la ultraviolencia	ultraviolence
el vigués	Vigo
*** 4521 - 4530 (/course/195613/spanish-nouns-4/454/)	
la psicoquinesia	psychokinesis
la quincallería	ironmongery
el radiograma	radiogram
la retroventa	resale
el salsero	salsa
el saturnismo	"saturnism, lead poisoning, plumbism"
la senescalía	senechaussee
la seropositividad	seropositivity
(el)(la) sevillista	Sevilla
el silabeo	"syllabication, syllabification"
*** 4551 - 4560 (/course/195613/spanish-nouns-4/455/)	
el embotellado	bottling
las briquetas	briquettes
las cantiñas	"canteen, cantina, buffet"
la alcaparra	caper
la cariátide	caryatid
(el)(la) centralista	centralist
la fullería	"cheating, cardsharping"
el callejero	"city street guide, street map"
(el)(la) clasicista	classicist
el zueco	"clog, sabot, patten"
*** 4561 - 4570 (/course/195613/spanish-nouns-4/456/)	
la hormigonera	"concrete mixer, cement mixer"
los confucianos	Confucian
el dializador	dialyzer
la putada	"dirty trick, nasty trick, bastard of a trick"
el desaparecimiento	disappearance
la chochez	dotage
las orejeras	earmuff
la puñeta	"edging, trim, damn it"
el embalsamador	embalmer
las témporas	Ember
*** 4541 - 4550 (/course/195613/spanish-nouns-4/457/)	
(el)(la) avalista	guarantor
el batelero	boatman
(el)(la) costumbrista	writer specializing in local customs
el comisariato	administrative office
la afiliada	affiliated
el anofeles	anopheles
(el)(la) autista	"autistic, autistic person"
la bachillera	"bachelor, graduate"
los vascongados	Basques
el cospel	"blank, planchet"
*** 4601 - 4610 (/course/195613/spanish-nouns-4/458/)	
el revistero	magazine rack
la mastitis	mastitis
el metaloide	metalloid
el metatórax	metathorax
el microgramo	microgram
el conchero	midden
la motonave	motor ship
el murmurio	murmur
la mixomatosis	myxomatosis
el perdulario	ne'er-do-well
*** 4571 - 4580 (/course/195613/spanish-nouns-4/459/)	
la ensaimada	ensaimadas
el sobre	envelope
la epifonema	epiphoneme
(los)(las) epirotas	Epirotes
la exudación	exudation
(el)(la) fatalista	fatalist
la guedeja	"forelock, lock"
el frisón	Frisian
el fumigador	fumigator
el genital	genital
*** 4581 - 4590 (/course/195613/spanish-nouns-4/460/)	
la molleja	"gizzard, sweetbread"
el guantero	Glover
(los)(las) buscavidas	"go-getter, meddler, snooper"
el grafólogo	graphologist
la gramínea	grass
los hamos	Hamos
los henares	"hayfield, hayloft"
el chalán	horsedealer
(el)(la) onubense	Huelva
el achuchón	hugs
*** 4591 - 4600 (/course/195613/spanish-nouns-4/461/)	
los icneumónidos	ichneumonids
(el)(la) imperialista	imperialist
los jebuseos	Jebusites
el hervidor	"kettle, boiler"
el celeste	"light blue, sky blue"
el belfo	lip
(el)(la) radioescucha	listener
el bracito	little arm
el luso	Luso
la macis	mace
*** 4611 - 4620 (/course/195613/spanish-nouns-4/462/)	
el orix	oryx
el serón	pannier
la peticionaria	petitioner
el enchapado	"plating, veneer"
el poetastro	poetaster
el pámpano	"pompano, shoot, tendril"
el pollero	"poulterer, poultry dealer"
los sinapismos	poultices
la ptosis	ptosis
la chincheta	"pushpin, drawing pin, tack"
*** 4621 - 4630 (/course/195613/spanish-nouns-4/463/)	
la pirosis	pyrosis
el ranúnculo	"ranunculus, crowfoot"
el galopín	"rascal, tyke, mudlark"
los historiales	"record, background"
la gallineta	redfish
el reparador	"repairer, repairman, mender"
las revisiones	"review, revision, overhaul"
el sasafrás	sassafras
el sajón	"Saxon, person from Saxony"
el lacre	sealing wax
*** 4641 - 4650 (/course/195613/spanish-nouns-4/464/)	
el descreído	"unbeliever, disbeliever, misbeliever"
el descargador	unloader
(el)(la) arribista	"upstart, arriviste, pusher"
(el)(la) veraneante	vacationer
las minivacaciones	vacay
el vitoriano	Vitoria
la zorrita	Vixen
el vagido	wail
la lastimadura	"wound, injury, wounding"
la agrónoma	"agronomist, agriculturalist, agriculturist"
*** 4651 - 4660 (/course/195613/spanish-nouns-4/465/)	
la alicantina	Alicante
el ligustro	privet
la avasalladora	overwhelming
la casera	landlord
el geiser	geyser
la latinoamericana	Latin American
el moratón	bruise
la neoyorquina	New Yorker
la norteamericana	"American, North American"
la panameña	Panamanian
*** 4631 - 4640 (/course/195613/spanish-nouns-4/466/)	
la secoya	"sequoia, redwood"
la rociada	"spray, sprinkling, sprinkle"
el quitamanchas	"stain remover, cleaner, stain-remover"
la grapadora	stapler
los almidonados	starched
la estomatitis	stomatitis
la infravivienda	substandard housing
la ringlera	swath
el templario	templar
la triquinosis	trichinosis
*** 4681 - 4690 (/course/195613/spanish-nouns-4/467/)	
la asafétida	asafoetida
(el)(la) autoestopista	Hitchhiker
la auvernia	auvergne
el avéstico	Avestan
el avetoro	bittern
la bacinica	potty
el beige	"beige, fawn"
el benzoato	benzoate
el cambray	chambray
la cartomancia	cartomancy
*** 4661 - 4670 (/course/195613/spanish-nouns-4/468/)	
la piruleta	lollipop
la soñadora	"dreamer, daydreamer"
la toledana	Toledo
las trinitarias	Trinitarian
el volframio	"wolfram, tungsten"
la visionaria	visionary
la cellisca	sleet
el deformador	deforming
el preñado	pregnancy
el acetilo	acetyl
*** 4691 - 4700 (/course/195613/spanish-nouns-4/469/)	
la cenestesia	cenesthesia
el chateo	pub crawl
la cholla	"nut, nob"
la comemierda	asshole
el comercialismo	commercialism
la corticotropina	corticotropin
el cuatrimotor	quad
la depre	depression
la desga	Desga
la desmineralización	demineralization
*** 4671 - 4680 (/course/195613/spanish-nouns-4/470/)	
la adjunción	attachment
el agolpamiento	"throng, crush"
(el)(la) aislante	"insulation, insulator"
la aleurona	aleurone
la alopatía	allopathy
el ambo	"ambo, two-piece suit"
el antecristo	Antichrist
la antroponimia	anthroponymy
el aplacamiento	"satisfaction, propitiation"
el armarito	cabinet
*** 4721 - 4730 (/course/195613/spanish-nouns-4/471/)	
la indocilidad	intractability
la insolubilidad	"insolubility, intractability"
(el)(la) internista	internist
el jopo	broomrape
el kéfir	kefir
el macramé	"macrame, macramé"
(el)(la) manchú	Manchu
la marchitez	"wilting, withering"
la minicumbre	mini-summit
el monillo	Monilla
*** 4701 - 4710 (/course/195613/spanish-nouns-4/472/)	
el despachador	dispatcher
la desprogramación	deprogramming
la diamina	diamine
la disfuncionalidad	dysfunctionality
el druidismo	Druidry
la engolfa	engulfs
el envaramiento	"numbness, stiffness"
el excurso	excursus
la expansividad	expansiveness
(el)(la) facial	face value
*** 4711 - 4720 (/course/195613/spanish-nouns-4/473/)	
la flacidez	sagging
la formica	formica
la geofagia	geophagy
el gordinflón	"chubby, roly-poly, podgy"
el hexaedro	hexahedron
el hiperónimo	hypernym
el huecograbado	gravure
la imprimación	primer
la inatención	inattention
la indiana	printed calico
*** 4731 - 4740 (/course/195613/spanish-nouns-4/474/)	
la montadora	mounter
el naftaleno	naphthalene
el nativismo	nativism
el negror	blackness
la neguilla	corn cockle
la nitración	nitration
el nono	"ninth, drip"
la observadora	"observer, spotter"
la palinología	palynology
el paneslavismo	Pan-Slavism
*** 4751 - 4760 (/course/195613/spanish-nouns-4/475/)	
la reumatología	rheumatology
la revisita	revisits
la rotenona	rotenone
el salacot	pit helmet
la santiguada	sign of the Cross
la secretina	secretin
el sensorial	sensory
la sobredeterminación	overdetermination
la soñolencia	sleepiness
la supinación	supination
*** 4771 - 4780 (/course/195613/spanish-nouns-4/476/)	
el mudo	"dumb, mute, silent"
(el)(la) nutricionista	nutritionist
(el)(la) hablista	"good speaker, elegant user of language"
la desgarradura	tearing
(el)(la) abolicionista	abolitionist
(el)(la) ausente	"absentee, missing person"
el acrílico	acrylic
el alejandrino	Alexandrine
el aluminato	aluminate
el brazal	armband
*** 4781 - 4790 (/course/195613/spanish-nouns-4/477/)	
la arteriola	arteriole
el cesionario	"assignee, assign"
el asirio	Assyrian
(los)(las) atomistas	atomistic
la avitaminosis	avitaminosis
el cabezón	big head
los biopolímeros	biopolymers
(el)(la) chantajista	"blackmailer, racketeer"
el trompetazo	blare
la mamada	"blow job, suck, breastfeeding"
*** 4791 - 4800 (/course/195613/spanish-nouns-4/478/)	
la carda	"card, comb"
el caribeño	Caribbean
el castrado	castrate
la colelitiasis	cholelithiasis
las trepadoras	"climber, nuthatch"
el sufrido	complaisant husband
el cínico	"cynic, shameless person"
el decurión	decurion
(el)(la) disciplinante	disciplining
el desinfectante	disinfectant
*** 4801 - 4810 (/course/195613/spanish-nouns-4/479/)	
la disimilitud	"dissimilarity, dissimilitude"
la perforadora	"drill, punch, puncher"
(los)(las) ebionitas	Ebionites
la angula	elver
la enredadora	entangler
la arrastrada	entrained
el escondido	Escondido
la esofagitis	esophagitis
(el)(la) fabulista	fabulist
los abetales	fir
*** 4831 - 4840 (/course/195613/spanish-nouns-4/480/)	
la nonada	nothingness
la oprimida	oppressed
el similor	ormolu
el sobrestante	Overseer
el paquidermo	pachyderm
la hombrera	"pad, shoulder pad, epaulet"
la palizada	palisade
la empanadilla	"patty, small pasty, small turnover"
el pavón	peacock butterfly
el penitenciario	"penitentiary, confessor"
*** 4811 - 4820 (/course/195613/spanish-nouns-4/481/)	
la hojuela	"flake, leaflet, foil"
el saborizante	flavoring
la dedalera	foxglove
la tragaperras	"fruit machine, slot machine, one-armed bandit"
el cardillo	golden thistle
la verdulería	"greengrocery, fruit shop, greengrocer's"
(el)(la) hermafrodita	hermaphrodite
el hercio	hertz
el hesperidio	hesperidium
el conchabado	in cahoots
*** 4851 - 4860 (/course/195613/spanish-nouns-4/482/)	
el tostador	roaster
el bisoño	"rookie, greenhorn"
las arraigadas	rooted
las rutáceas	Rutaceae
el salicilato	salicylate
el saurio	saurian
el escolástico	"scholastic, schoolman"
(el)(la) semifinalista	semifinalist
los cequíes	sequins
la somera	shallow
*** 4741 - 4750 (/course/195613/spanish-nouns-4/483/)	
el pantallazo	screenshot
la pirimidina	pyrimidine
el poblacho	"dump, hole"
el prepósito	superior
el pretorio	"praetorium, pretorium"
el priapismo	priapism
la psicofarmacología	psychopharmacology
la puritana	Puritan
la rebatiña	"scramble, rush"
el refunfuño	grumble
*** 4821 - 4830 (/course/195613/spanish-nouns-4/484/)	
el inhalador	"inhaler, inhalant"
la cocha	kocha
la cargadora	loader
los palangreros	longliners
el barbado	"lower jaw, tree, chin-piece"
el magnetizador	magnetizer
el mamón	"mammon, sucker, suckling"
el megatón	megaton
el incomprendido	misunderstood person
(el)(la) inconformista	nonconformist
*** 4761 - 4770 (/course/195613/spanish-nouns-4/485/)	
la taciturnidad	taciturnity
el tarareo	hum
la tontita	silly
el trole	trolley
la velación	"veiling ceremony, nuptial benediction, veiling"
el vocalismo	vocalism
el mellizo	twin
el borceguí	"high shoe, laced boot, bootee"
el veinteañero	person in their twenties
el afrodisíaco	aphrodisiac
*** 4841 - 4850 (/course/195613/spanish-nouns-4/486/)	
el perforador	perforator
el frigio	Phrygian
la piastra	"piastre, piaster"
el ananá	"pineapple tree, pineapple"
el velludo	"plush, velvet"
el podólogo	"podiatrist, chiropodist"
(el)(la) europeísta	Pro-European
el prolegómeno	prolegomenon
el guisote	ratatouille
la sonaja	"rattle, jingle"
*** 4891 - 4900 (/course/195613/spanish-nouns-4/487/)	
el resucitador	respirator
el shekel	shekel
la mopa	mop
el albaceteño	Albacete
el algodonero	cotton grower
el chapucero	bungler
la fraternización	fraternization
el coy	hammock
la pancita	tripe
el panículo	panicle
*** 4871 - 4880 (/course/195613/spanish-nouns-4/488/)	
la sicosis	sycosis
el tronido	"thunderclap, thunder, boom"
la tortuosidad	tortuosity
el veinticuatro	twenty-four
el damnificado	victim
la visitadora	visiting
la cuchufleta	wisecrack
la ganada	won
la gusanera	worms
la camionera	truck driver
*** 4861 - 4870 (/course/195613/spanish-nouns-4/489/)	
la contraventana	shutter
la dermatosis	skin disease
la nevasca	snowstorm
(los)(las) sodomitas	sodomites
el engreído	"spoiled brat, swelled head"
la estereotipia	stereotyping
el estoma	stoma
la forastera	"stranger, outsider, visitor"
la gilipollez	"stupid comment, stupid act, nonsense"
(el)(la) submarinista	"submariner, frogman"
*** 4881 - 4890 (/course/195613/spanish-nouns-4/490/)	
la contrachapada	plywood
el telefax	facsimile
la guatemalteca	Guatemalan
los impedidos	disabled person
la libanesa	Lebanese
la lombarda	Lombard
la maníaca	maniac
la tortita	pancake
la polluela	"chick, baby bird, nestling"
el republicana	republican
*** 4901 - 4910 (/course/195613/spanish-nouns-4/491/)	
el urdidor	warping
la boloñesa	Bolognese
la acondroplasia	achondroplasia
el africanismo	Africanism
el antropoide	"anthropoid, anthropoid ape"
(el)(la) aprista	APRA supporter
la apuntación	"entry, note"
el aristarco	aristarch
la arteriografía	arteriography
el azotador	Lasher
*** 4921 - 4930 (/course/195613/spanish-nouns-4/492/)	
el crep	crepe
el cronógrafo	"stopwatch, chronograph"
la dactiloscopia	fingerprinting
el decágono	decagon
el demandador	plaintiff
el descorazonamiento	discouragement
el desolladero	renderer
la dexametasona	dexamethasone
el encabalgamiento	"support, frame, overlap"
el ensilado	ensilage
*** 4911 - 4920 (/course/195613/spanish-nouns-4/493/)	
el azur	azure
la baquelita	bakelite
la bioluminiscencia	bioluminescence
el botecito	little boat
el brécol	broccoli
el calentito	warm
el comburente	combustion
la contravigilancia	counter-surveillance
el corion	corium
la crasitud	fatness
*** 4941 - 4950 (/course/195613/spanish-nouns-4/494/)	
el gregarismo	gregariousness
la herbolaria	herbal
la iconoclasia	iconoclasm
el infantado	"appanage, apanage"
el interlineado	line spacing
la intraducibilidad	untranslatable
la jabonera	soap dish
el kayac	kayak
la lecha	"milt, soft roe"
la liofilización	lyophilization
*** 4931 - 4940 (/course/195613/spanish-nouns-4/495/)	
el equilibrismo	balancing
la escila	squill
el espectrofotómetro	spectrophotometer
la estaurolita	staurolite
la estenografía	stenography
el exantema	exanthema
la explicitud	explicitness
el factoraje	factoring
el furano	furan
el geco	gecko
*** 4951 - 4960 (/course/195613/spanish-nouns-4/496/)	
la loneta	thin canvas
el machaqueo	"crushing, pounding"
el manipuleo	handling
el máuser	Mauser
la miofibrilla	myofibril
la molaridad	molarity
el motivador	motivator
el naturismo	naturism
el nóbel	nobel
el olíbano	frankincense
*** 4971 - 4980 (/course/195613/spanish-nouns-4/497/)	
el puestito	cushy
el queloide	keloid
el rectificador	rectifier
el siríaco	Syriac
la subinspectora	Deputy Inspector
el ténder	tender
la toxemia	toxemia
el uzbeco	Uzbek
la valina	valine
(el)(la) violoncelista	"cellist, violoncellist"
*** 4961 - 4970 (/course/195613/spanish-nouns-4/498/)	
el ostensorio	monstrance
el paco	"paca, bale, pig"
la paprika	paprika
el pentotal	pentothal
el pestazo	stink
la pillada	"dirty trick, surprise revelation, surprise encounter"
la piperina	piperine
la policlínica	polyclinic
la procesadora	food processor
(el)(la) progre	progress
*** 4981 - 4990 (/course/195613/spanish-nouns-4/499/)	
la voladora	flying
la xerografía	xerography
la yaya	"boo boo, owie"
la pajilla	straw hat
los zunchos	"edge beam, ring beam, tie bar"
la digital	"foxglove, digitalis"
(el)(la) regatista	"yacht competitor, yachts person"
el afín	relation by marriage
el cortafrío	cold chisel
la adiposidad	adiposity
*** 4991 - 5000 (/course/195613/spanish-nouns-4/500/)	
el ailanto	ailanthus
la antocianina	anthocyanin
el anticoagulante	anticoagulant
el ateneo	athenaeum
el ajolote	axolotl
los bactrianos	Bactrian
(el)(la) recogepelotas	"ball boy, ball girl"
las balistas	ballistae
la dentellada	bite
el sangrador	bleeder
